Item Name,Price
Irish Americano (350 ML),309.52
Cafe Mocha (350 Ml),357.0
Almond Frappe (450 Ml),477.75
Madagascar Hot Chocolate (350 Ml),460.0
ALMOND MILK (150 ML),85.71
Iced Mocha (450 ML),300.0
Almond Frappe (350 Ml),414.75
Origanal South Indian Frappe (450 Ml),477.75
Mix Tartlet 6 Pcs (Filter Kaapi Tartlet),38.1
Irish Americano (350 Ml),341.25
Americano (250 Ml),252.0
Add On Syrup (Add On Cinnamon Syrup),47.62
Iced Latte (450 Ml),341.25
Oat Milk (150 Ml),105.0
Waves Of Malnad 250 GM,500.0
Choco-crinkle-cookies (with Egg) (COMBO 6 PCS),123.81
Irish Americano (250 Ml),309.75
Classic Frappe (450 Ml),435.75
Bon Bon (350 Ml),414.75
Cafe Latte 350 Ml (350 Ml),341.25
Almond Milk (150 ML),85.71
Add On Syrup (Add On Nutella sauce),66.67
Oat Milk (150 ML),95.24
Wild Chikmanglur 250 GM,500.0
Sea Salt Dark Mocha (250 Ml),378.0
Vietnamese (450 Ml),477.75
Add On Syrup (Add On Dark chocolate Sauce),71.43
Cafe Latte 350 Ml (250 ML),280.95
Madagascar Chocochip Frappe (450 Ml),514.5
Mix Tartlet 9 Pcs (chocolate Tartlet),28.57
Mix Tartlet 9 Pcs (Salted Caramel Tartlet),28.57
Mix Tartlet 9 Pcs (Filter Kaapi Tartlet),28.57
Mix Tartlet 9 Pcs (kodai cheese tartlet),28.57
Mix Tartlet 9 Pcs (Kacha Nimbu Tartlet),28.57
Kaapicino (250 Ml),294.0
Kodai Shroom 250 GM,500.0
Coconut Natkhatai (with Egg),371.43
Kaapicino (350 Ml),325.5
Mix Tartlet 3 Pcs (salted Caramel  tartlet),42.86
Spicy Banana Chips  60 Gm,57.14
Mix Berliner  2 Pcs (Nutella Berliner),61.9
Mix Berliner  2 Pcs (Blueberry Cheese Cake Berliner),61.9
Mix Berliner  2 Pcs (Lotus Biscoff Berliner),61.9
Mix Berliner  2 Pcs (Dark Choco Mousse Berliner),61.9
